Sensor,Error
19.64434949797052,3.5188573870052196
19.6130985442671,3.5407330545976095
19.616223639637443,3.5313577684865862
19.616223639637443,3.518857387005216
19.6130985442671,3.509482100894189
19.6130985442671,3.5032319101535094
19.631849116489153,3.478231147190769
19.634974211859493,3.475106051820429
19.64434949797052,3.459480574968719
19.634974211859493,3.475106051820429
19.622473830378123,3.484481337931456
19.6130985442671,3.500106814783166
19.62872402111881,3.484481337931456
19.656849879451887,62.5800347911008
19.669350260933257,62.56753440961943
19.625598925748466,62.608160649433884
19.622473830378123,62.61128574480422
19.634974211859493,62.598785363322854
19.62872402111881,62.6019104586932
19.638099307229833,62.59566026795251
19.625598925748466,62.61128574480422
19.619348735007783,62.614410840174564
19.609973448896756,62.62691122165593
19.62872402111881,62.61128574480422
19.625598925748466,62.61128574480422
19.609973448896756,62.62691122165593
19.616223639637443,62.623786126285594
19.616223639637443,62.626911221655945
19.625598925748466,62.61753593554492
19.609973448896756,62.63628650776697
19.609973448896756,62.63316141239663
19.603723258156073,62.63628650776696
19.60059816278573,62.639411603137304
19.591222876674703,62.64878688924833
19.588097781304363,62.65191198461867
19.603723258156073,62.63628650776696
19.603723258156073,62.63628650776696
19.591222876674703,62.64566179387798
19.60059816278573,62.636286507766954
19.60059816278573,62.642536698507655
19.60059816278573,62.636286507766954
19.609973448896756,62.62066103091526
19.594347972045046,62.639411603137304
19.588097781304363,62.645661793877984
19.591222876674703,62.64566179387798
19.603723258156073,62.63941160313731
19.591222876674703,62.65191198461868
19.59747306741539,62.64878688924833
19.58497268593402,62.658162175359365
19.60059816278573,62.642536698507655
19.603723258156073,62.645661793877984
19.616223639637443,62.639411603137304
19.619348735007783,62.63628650776696
19.6130985442671,62.639411603137304
19.609973448896756,62.64566179387799
19.62872402111881,62.620661030915244
19.62872402111881,62.62691122165593
19.6130985442671,62.64253669850764
19.606848353526413,62.65191198461868
19.609973448896756,62.64878688924834
19.6130985442671,62.651911984618664
19.603723258156073,62.664412366100045
19.6130985442671,62.65816217535935
19.606848353526413,62.66753746147039
19.60059816278573,62.673787652211075
19.60059816278573,62.68003784295175
19.603723258156073,62.67378765221107
19.606848353526413,62.670662556840725
19.60059816278573,62.67691274758141
19.60059816278573,62.68003784295175
19.60059816278573,62.67691274758141
